88,accent,['?ks?nt;'?ksent],n.腔调、口音;重音、重音符号;v.加重读
89,accentuate,[?k'sent?ueit;?k'sent?u:?eit],v.重读;强调
90,access,['?kses],n.通路;途径(接近、进入、出去或使用的方法手段)
91,access,['?kses],vt.接近(进入、获得接触数据或程序的途径)
92,accessibility,[?k?sesi'biliti;?k?ses?'bil?ti],n.易接近;可达到
93,accessible,[?k'ses?bl;?k'ses?b?l],a.易达到的;易受影响的
94,accessory,[?k'ses?ri],a.附属的、次要的;n.附件、附属品;同谋、帮凶
95,accident,['?ksid?nt],n.意外事件、事故
96,accidental,[??ksi'dentl;??ks?'dent?l],a.意外的、偶然的
97,accidentally,[??ksi'dent?li;??ks?'dent?li],ad.意外地、偶然地
98,acclaim,[?'kleim],v.欢呼、称赞;n.赞誉、赞许
99,acclimate,[?'klaimit],v.使服水土;使适应
100,accolade,[??k?'leid],n.推崇;赞扬
101,accommodate,[?'k?m?deit],v.与...一致;提供食宿
102,accommodating,[?'k?m?deiti?;?'k?m??deiti?],a.乐于助人的
103,accommodation,[??k?m?'dei?n;??k?m?'dei??n],n.[常用复数]招待设备、膳宿供应、居住舱室;适应、调节;贷款
104,accompaniment,[?'k?mp?nim?nt],n.伴奏
105,accompany,[?'k?mp?ni],v.伴随、陪伴
106,accomplice,[?'k?mplis],n.同谋者、帮凶
107,accomplish,[?'k?mpli?],v.完成、做成功
108,accomplished,[?'k?mpli?t],a.完成了的;精通的、熟练的
109,accomplishment,[?'k?mpli?m?nt],n.成就
110,accord,[?'k?:d],v./n.同意;一致
111,accordance,[?'k?:d?ns],n.一致、给予
112,accordingly,[?'k?:di?li],ad.因此、因而;相应地
113,accordion,[?'k?:di?n],n.手风琴
114,accost,[?'k?:st],v.搭话
115,account,[?'kaunt],n.说明、解释;户头、账户;vi.解释
116,accountability,[??kaunt?'biliti;??kaunt?'bil?ti],n.负有责任
117,accountant,[?'kaunt?nt],n.会计员、会计师
118,accounting,[?'kaunti?],n.会计学
119,accredit,[?'kredit],vt.授权
120,accrete,[?'kri:t;?'kri:t],v.逐渐增长;连生
121,accrue,[?'kru:],v.(利息等)增大;增多
122,accumulate,[?'kju:mjuleit;?'kju:mj??leit],v.积聚、积累
123,accuracy,['?kjur?si;'?kj?r?si],n.准确性、正确性
124,accurate,['?kjurit;'?kj?rit],a.精确的、准确的
125,accusation,[??kju'zei??n;??kj?'zei??n],n.谴责;控告
126,accuse,[?'kju:z],v.谴责、指责
127,accustomed,[?'k?st?md],a.习惯了的、习惯的
128,acerbic,[?'s?:bik],a.苦涩的;刻薄的
129,acerbity,[?'s?:biti;?'s?:b?ti],n.涩、酸、刻薄
130,achieve,[?'t?i:v],vt.完成、实现
131,achievement,[?'t?i:vm?nt],n.成就、功绩
132,achromatic,[??kr?u'm?tik;??kr?'m?tik],a.非彩色的、无色的
133,achromatopsia,[?kr?um?'t?psi?],n.色盲
134,acid,['?sid],n.酸;a.酸的;尖酸的、刻薄的
135,acidic,[?'sidik],a.酸的、酸性的
136,acidity,[?'siditi;?'sid?ti],n.酸度、酸性
137,acidosis,[??si'd?usis],n.酸中毒
138,acidulous,[?'sidjul?s;?'sid??l?s],a.稍有酸味的;刻薄的(脾气坏的、性情乖僻的)
139,acknowledge,[?k'n?lid?],v.承认;致谢;告知(信件等的)收到
140,acknowledgement,[?k'n?lid?m?nt],n.承认、感谢;收到的通知
141,acme,['?kmi],n.顶点、极点
142,acne,['?kni],n.粉刺
143,acolyte,['?k?lait;'?k??lait],n.(教士的)助手、侍僧
144,acorn,['eik?:n],n.橡子、橡果
145,acoustic,[?'ku:stik],a.听觉的、有关声音的
146,acquaint,[?'kweint],a.使...熟知;通知
147,acquaintance,[?'kweint?ns],n.熟人;认识、了解
148,acquainted,[?'kweintid],a.有知识的、知晓的
149,acquiesce,[??kwi'es],v.勉强同意、默许(含有不情愿、但又不敢反抗的味道)
150,acquire,[?'kwai?],vt.获得、学到
151,acquired,[?'kwai?d],a.后天习得的
152,acquisition,[??kwi'zi??n;??kw?'zi??n],n.获得(获得的行为);获得物
153,acquisitive,[?'kwizitiv;?'kwiz?tiv],a.渴望得到的、贪婪的
154,acquit,[?'kwit],v.宣告无罪;脱卸义务和责任;还清(债务)
155,acquittal,[?'kwitl;?'kwit?l],n.宣告无罪、开释
156,acreage,['eik?rid?],n.英亩数;土地的面积
157,acrid,['?krid],a.辛辣的、刻薄的
158,acrimony,['?krim?ni;'?kr??m?uni],n.尖刻、刻薄
159,acrobat,['?kr?b?t],n.特技演员、杂技演员
160,acronym,['?kr?nim],n.首字母缩略词
161,acrophobia,[??kr?'f?ubi?],n.恐高症
162,acrylic,[?'krilik;?'krilik],a.[化]丙烯酸;丙烯酸衍生物的
163,activate,['?ktiveit;'?kt??veit],n.使活泼;[化]加速反应(通过加热或化学试剂以加速反应)
164,actively,['?ktivli],ad.活跃地、积极地
165,activity,[?k'tiviti;?k'tiv?ti],n.活动;活力;能动性
166,actual,['?ktju?l],a.实际的、现行的
167,actually,['?ktju?li;'?kt?u?li],ad.实际上、事实上
168,actuarial,[??ktju'??ri?l;??kt?u'eri?l],a.(保险)精算的、保险计算的
169,actuate,['?ktjueit;'?kt?u?eit],v.驱使、激励;开动(机器)
170,acuity,[?'kjuiti],n.(尤指思想或感官)敏锐
171,acumen,[?'kju:men;?'kju:m?n],n.敏锐、精明
172,acupuncture,['?kjup??kt??;'?kju?p??kt??],n.针刺;针灸
173,acute,[?'kju:t],a.敏锐的、灵敏的;[病]急性的
174,acute angle,,n.锐角
175,adage,['?did?],n.格言、古训
176,adamant,['?d?m?nt],a.强硬的;坚决的、固执的
177,adapt,[?'d?pt],v.(使)适应、调整;改编
178,adaptable,[?'d?pt?bl;?'d?pt?b?l],a.有适应能力的;可改编的
179,adaptation,[??d?p'tei??n],n.改编、改写;适应环境
180,adaptive,[?'d?ptiv],a.适合的;适应的
181,addendum,[?'dend?m],n.补充;附录
182,addict,"[?'dikt,'?dikt]",v./n.沉溺;上瘾(者)
183,addictive,[?'diktiv],a.(使人)上瘾的
184,addition,[?'di??n],n.加、加法;附加部分、增加(物)
185,additional,[?'di??nl;?'di??n?l],a.另外的、附加的、额外的
186,additive,['?ditiv;'?d?tiv],n.添加剂;a.添加的、附加的
187,addle,['?dl;'?d?l],v.使腐坏、使混乱;a.不能生殖的;不结果实的
188,address,[?'dres],v.处理、对付、着手解决;致辞
189,adduce,[?'dju:s],v.给予(理由)、举出(例证)
190,adept,[?'dept],a.老练的、精通的
191,adequate,['?dikwit],a.足够的;恰当的
192,adhere,[?d'hi?],v.黏着、坚持;追随
193,adherent,[?d'hi?r?nt;?d'hir?nt],n.拥护者、信徒
194,adhesive,[?d'hi:siv],a.带黏性的、胶黏的;n.胶合剂
195,adipose,['?dip?us;'?d??p?us],a.脂肪质的、脂肪多的;n.动物脂肪
196,adjacent,[?'d?eisnt;?'d?eis?nt],a.接近的、毗连的
197,adjacent angle,,n.邻角
198,adjoin,[?'d??in],vt.毗连、邻近
199,adjoining,[?'d??ini?],a.毗邻的
200,adjourn,[?'d??:n],v.使延期、推迟;休会
201,adjudicate,[?'d?u:dikeit;?'d?u:di?keit],v.充当裁判、判决
202,adjudication,[??d?u:di'kei??n],n.判决、裁定;宣告
203,adjunct,['?d???kt],n.附加物、附件
204,adjust,[?'d??st],v.调整、整理;使适合、适应
205,adjustment,[?'d??stm?nt],n.调整
206,adjutant,['?d?ut?nt;'?d??t?nt],n.(军队的)副官(帮助指挥官处理行政事务的人事官员)
207,adlib,[?d'lib],v.临时讲话、即兴表演
208,administer,[?d'minist?],vt.管理;供给
209,administration,[?d?mini'strei??n],n.经营、管理;当局、政府
210,administrative,[?d'ministr?tiv],a.管理的;行政的
211,administrator,[?d'ministreit?],n.管理者;行政官
212,admiration,[??dm?'rei??n],n.钦佩、赞美
213,admire,[?d'mai?],v.钦佩、赞赏
214,admission,[?d'mi??n],n.许可;入场费;承认、坦白
215,admit,[?d'mit],vt.准许进入;承认
216,admittedly,[?d'mitidli],ad.公认地;诚然、无可否认地
217,admonish,[?d'm?ni?],v.训诫;警告
218,admonition,[??dm?'ni??n],n.告诫、劝告;温和的责备
219,adobe,[?'d?ubi],n.泥砖、土坯
220,adolescent,[??d?'lesnt;??d?'les?nt],a.青春期的;n.青少年
221,adopt,[?'d?pt],vt.采用;收养
222,adoption,[?'d?p??n],n.采用;收养
223,adore,"[?'d?:;?'d?ur,?'d?:]",v.崇拜、敬仰;热爱
224,adorn,[?'d?:n],v.装饰
225,adornment,[?'d?:nm?nt],n.装饰;装饰品
226,adrenal,[?d'ri:n?l],a.肾上腺的、肾上附近的.
227,adroit,[?'dr?it],a.熟练的、灵巧的
228,adulate,['?d?uleit;'?d???leit],v.谄媚、奉承
229,adulatory,['?d?uleit?ri;'?d??l??t?uri],a.馅媚的、奉承的
230,adulterate,[?'d?lt?reit;?'d?lt??reit],v.掺假(加入外来的、不当的或低等的成分使变得不纯)
231,adumbrate,['?d?mbreit;'?d?m?breit],v.(对将来事件)预示;预告
232,advance,[?d'vɑ:ns],vt.提高、发展;提升;提出;vi.前进;n.前进、进步;预先、提前(in advance)
233,advanced,[?d'vɑ:nst],a.高级的;年老的;先进的
234,advancement,[?d'vɑ:nsm?nt],n.进展;提升
235,advent,['?dv?nt;'?dvent],n.到来、来临
236,adventitious,[??dven'ti??s],a.偶然的
237,adventure,[?d'vent??],n.冒险、冒险的经历
238,adventurer,[?d'vent??r?],n.冒险家
239,adventurous,[?d'vent??r?s],a.喜欢冒险的、敢做敢为的
240,adversarial,[??dv?'s??ri?l;??dv?'seri?l],a.敌人的、对手的
241,adverse,['?dv?:s;?d'v?:s],a.不利的;相反的;敌对的
242,adversely,[?d'v?:sli],ad.不利地;相反地
243,adversity,[?d'v?:siti;?d'v?:s?ti],n.不幸、灾难
244,advert,[?d'v?:t],v.注意、留意
245,advertise,['?dv?taiz],v.做广告;通知
246,advisable,[?d'vaiz?bl;?d'vaiz?b?l],a.适当的、可行的
247,advisor,[?d'vaiz?],n.顾问
248,advisory,[?d'vaiz?ri],a.咨询的、劝告的
249,advocate,"['?dv?keit,'?dv?kit]",v.拥护、支持、鼓吹;n.支持者、拥护者
250,aegis,['i:d?is],n.盾;保护、庇护
251,aerate,['ei?reit;'ei??reit],v.充气、让空气进入
252,aerial,['??ri?l;'eri?l],a.空中的、空气中的;n.天线
253,aerobe,['??r?ub;'ei?r?ub],n.需氧生物
254,aerobic,[??'r?bik;ei?'r?ubik],a.需氧的
255,aerodynamics,['??r?udai'n?miks],n.空气动力学
256,aeronautics,[???r?'n?:tiks;?er?'n?:tiks],n.航空学
257,aerosol,['??r?s?l],n.烟雾;[化]气溶、烟雾剂
258,aesthete,['i:sθi:t;'esθi:t],n.审美家
259,aesthetic,[i:s'θetik;es'θetik],a.美学的、有审美感的
260,afebrile,[ei'fi:br?l],a.无热的
261,affable,['?f?bl;'?f?b?l],a.易于交谈的;和蔼的
262,affect,[?'fekt],v.影响;假装
263,affectation,[??fek'tei?n;??fik'tei??n],n.做作、假装
264,affected,[?'fektid],a.不自然的;假装的
265,affection,[?'fek??n],n.喜爱、感情、爱慕之情
266,affectionate,[?'fek??nit],a.亲爱的、挚爱的
267,affective,[?'fektiv],a.感情的、表达感情的
268,affidavit,[??fi'deivit;??f?'deivit],n.宣誓书
269,affiliate,[?'filieit],v.加入;联合;n.附属机构、分公司
270,affinity,[?'finiti;?'fin?ti],n.密切关系、吸引力
271,affirm,[?'f?:m],v.确认;肯定;断言、坚持声称
272,affix,"[?'fiks,'?fiks]",v.粘上、贴上;(在末尾)添写某事物;n.词缀
273,afflict,[?'flikt],v.使痛苦、折磨
274,affliction,[?'flik??n],n.痛苦、苦恼
275,affluence,['?flu?ns],n.丰富、富裕;流入、涌入
276,affluent,['?flu?nt],a.富裕的、丰富的
277,afford,[?'f?:d],vt.付得起;冒险做;提供
278,affordable,[?'f?:d?bl;?'f?:d?b?l],a.能够支付的;便宜的
279,affront,[?'fr?nt],v.侮辱、冒犯
280,afoul,[?'faul],ad.纠缠着(run afoul of与...纠缠)
281,aftermath,['ɑ:ft?m?θ;'ɑ:ft??m?θ],n.事件的后果、余波
282,agape,[?'geip],a./ad.(嘴)大张着的(地)
283,agency,['eid??nsi],n.代理(处);代办处;
284,agenda,[?'d?end?],n.议程
285,agent,['eid??nt],n.代理人;代理商;产生作用的人或事物
286,agglomerate,[?'gl?m?reit;?'gl?m??reit],v.凝聚、结块
287,agglutination,[??glu:tin'ei??n;??glu:t?n'ei??n],n.胶合;凝集;粘结
288,aggrandize,[?'gr?ndaiz;?'gr?n?daiz],v.增大、扩张;吹捧
289,aggravate,['?gr?veit;'?gr??veit],v.加重、恶化;使恼火
290,aggravating,['?gr?veiti?;'?gr??veiti?],a.恼人的、讨厌的
291,aggregate,"['?grigeit,'?grigit]",v.集合;合计;n.总数;聚集体
292,aggregation,[??gri'gei??n],n.集合、群体
293,aggression,[?'gre??n],n.侵略;敌对的情绪或行为
294,aggressive,[?'gresiv],a.好斗的;进取的;侵略的;有敌意的
295,aggressiveness,[?'gresivnis],n.侵略;争斗
296,aggressor,[?'gres?],n.侵略者、攻击者
297,aggrieve,[?'gri:v],v.使受委屈、使痛苦
298,aghast,[?'gɑ:st],a.惊骇的、吓呆的
299,agile,['?d?ail;'?d??l],a.敏捷的、灵活的
300,agility,[?'d?iliti;?'d?il?ti],n.敏捷、活泼
301,agitate,['?d?iteit;'?d???teit],v.搅动、煽动;使不安、使焦虑
302,agitation,[??d?i'tei??n;??d??'tei??n],n.搅动、煽动;不安、焦虑
303,agnostic,[?g'n?stik],a.不可知论的;n.不可知论者
304,agog,[?'g?g],a.兴奋的、有强烈兴趣的
305,agony,['?g?ni],n.极大的痛苦(肉体或精神上的极度痛苦;死前挣扎的痛苦)
306,agrarian,[?'gr??ri?n;?'greri?n],a.土地的
307,agreeable,[?'gri:?b?l],a.令人喜悦的、宜人的;欣然同意的
308,agriculture,['?grik?lt??],n.农业、农艺、农学
309,agronomy,[?'gr?n?mi],n.农学、农艺学
310,ague,['eigju:],n.疟疾;寒颤
311,aid,[eid],n.援助、救护;助手、辅助物;vi.援助、救援
312,ail,[eil],v.生病
313,ailment,['eilm?nt],n.(不严重的)疾病
314,aim,[eim],n.目标、计划;vi.针对;打算、意欲
315,air,[e?;??],n.空气、空中;vt.晾干、使通风
316,air conditioner,[k?n'di??n?],n.空调
317,airborne,['??b?:n;'???b?urn],a.空气传播的;空运的;(部队)空降的
318,aircraft,['??krɑ:ft;'???krɑ:ft],n.飞行器;飞机、飞艇
319,air-cushion vehicle,['ku??n-'vi:ikl],n.气垫船
320,airline,['??lain;'???lain],n.(飞机)航线;a.(飞机)航线的
321,airsickness,['e??sik?is],n.晕机
322,airtight,['??tait;'???tait],a.密闭的、不透气的
323,aisle,[ail],n.(教堂、教室、戏院等里的)过道、通道
324,ajar,[?'d?ɑ:],a.(门窗等)微开的:leave the door ajar 让门半开着
325,akin,[?'kin],a.同族的;类似的
326,alabaster,['?l??bɑ:st?],a.雪白润滑的
327,alacrity,[?'l?kriti;?'l?kr?ti],n.乐意、欣然;敏捷、活泼
328,albeit,[?:l'bi:it],conj.虽然、尽管
329,albino,[?l'bi:n?u;?l'bain?u],n.白化病者、白化变种
330,album,['?lb?m],n.集邮册、相册
331,alchemy,['?lkimi;'?lk?mi],n.炼金术
332,alcohol,['?lk?h?l],n.酒精、乙醇;含酒精的饮料
333,alcove,['?lk?uv],n.凹室
334,alder,['?:ld?],n.桤木(桦木科、通常生长於沼泽地带)
335,ale,[eil],n.(淡色)啤酒
336,alert,[?'l?:t],a.警惕的、机警的;n.警报;vt.使...警觉
337,alfalfa,[?l'f?lf?],n.茴蓿、紫苜蓿
338,alga,['?lg?],n.水藻、海藻
339,algae,['?ld?i:],n.(alga的复数)水藻、海藻
340,algebra,['?ld?ibr?;'?ld??br?],n.代数
341,alias,['eili?s;'eili?s],n.化名、别名
342,alibi,['?li?bai;'?l??bai],n.某人当时不在犯罪现场的申辩或证明;借口
343,alien,['eilj?n;'eili?n],n.外侨、外国人;外星人;a.外国的;相异的
344,alienate,['eilj?neit;'eilj?n?eit],v.疏远、离间某人;转让(财产等)
345,align,[?'lain],v.将某物排列在一条直线上;与某人结盟
346,alignment,[?'lainm?nt],n.排列;联合、联盟
347,alike,[?'laik],a.同样的、相像的;ad.一样地;同程度地
348,alimentary,[??li?ment?ri],a.饮食的、营养的
349,alimony,['?lim?ni],n.离婚赡养费(离婚或分居后在诉讼期间男方给女方的生活费)
350,alkali,['?lk?lai;'?lk??lai],n.碱
351,alkaline,['?lk?lain;'?lk??lain],a.碱的、含碱的、碱性的
352,allay,[?'lei],v.减轻、缓和
353,allegation,[??li'gei??n;??l?'gei??n],n.宣称、主张、断言
354,allege,[?'led?],v.(无证据)称述、宣称
355,allegiance,[?'li:d??ns],n.忠诚、拥护
356,allegory,['?lig?ri;'?l??g?uri],n.寓言
357,allergic,[?'l?:d?ik],a.过敏的;对...讨厌的
358,allergy,['?l?d?i],n.过敏症、厌恶
359,alleviate,[?'li:vieit;?'li:vi?eit],v.缓和、减轻(痛苦)
360,alley,['?li],n.小巷、小径(在建筑群之间或在花园中两旁有花圃或树的小径);(保龄球等的)球道
361,alliance,[?'lai?ns],n.联盟、同盟、联合、联姻
362,alligator,['?li?geit?;'?l??geit?],n.短吻鳄
363,alliterate,[?'lit?reit;?'lit??reit],v.押头韵
364,alliteration,[??lit?'rei??n],n.(诗歌的)头韵(在一群字或诗中、第一个字母或发音的重复)
365,allocate,['?l?keit;'?l??ket],v.配给、分配
366,allopathy,[?'l?p?θi],n.(医)对抗疗法(产生的效果同疾病产生的效应不同)
367,allowance,[?'lau?ns],n.津贴、补助;承认、允许
368,alloy,"[?'l?i,'?l?i]",n.合金;vt.使成合金
369,allude,[?'lu:d],v.间接提到、暗指
370,allure,[?'lju?;?'liu?],v.引诱、吸引
371,alluring,[?'lju?ri?;?'luri?],a.吸引人的、迷人的
372,ally,[?'lai],n.同盟国;v.结盟
373,almighty,[?:l'maiti],a.全能的;很大的;很强的
374,almond,['ɑ:m?nd],n.杏树、杏仁
375,alms,[ɑ:mz],n.施舍物、救济品
376,almshouse,['a:mz?haus],n.贫民所、救济院
377,aloft,[?'l?ft],ad.在空中
378,alone,[?'l?un],a./v.单独的(地)
379,alongside,[?'l??'said],ad.在旁边;prep.和...在一起;在...旁边
380,aloof,[?'lu:f],a.冷淡的、孤零的
381,alphabet,['?lf?bit;'?lf??bet],n.字母表;初步、入门
382,alphabetical,[??lf?'betik?l],a.按字母表顺序的
383,alter,['?:lt?;'?lt?r],v.改变、更改
384,alteration,[??:lt?'rei??n],n.改变、更改
385,altercation,[??:lt?:'kei??n;??:lt?'kei??n],n.争吵、争论
386,alternate,"[?:l't?:nit,'?:lt?:neit]",a.轮流的、交替的;v.轮流、交替;n.候选人、替代性选择
387,alternately,['?:lt?:nitli;'?:lt?nitli],ad.交替地、轮流地
388,alternation,[??:lt?:'nei??n;??:lt?'nei??n],n.交替、轮流
389,alternative,[?:l't?:n?tiv],a.代替其他事物的;n.可能的选择(对两个或多个互相排斥的可能情况的选择)
390,altitude,['?ltitju:d;'?lt??tju:d],n.高度;海拔
391,alto,['?lt?u],n.[音]男最高音(歌手)
392,altruism,['?ltruiz?m;'?ltru?iz?m],n.利他主义;无私
393,aluminium,[??lju'mini?m;??lj?'mini?m],n.铝
394,alumni,[?'l?mnai],a.(alumnus的复数)校友
395,alveolus,[?l'vi:?l?s],n.小窝、牙槽;肺泡
396,amalgam,[?'m?lg?m],n.混合物
397,amalgamate,[?'m?lg?meit],v.合并;混合
398,amass,[?'m?s],v.积聚
399,amateur,['?m?t?:;'?m??t?u?],n.业余爱好者;a.业余的
400,amaze,[?'meiz],vt.使吃惊、使惊叹
401,amazement,[?'meizm?nt],n.惊愕、惊异
402,amazing,[?'meizi?],a.令人惊异的
403,amazon,['?m?z?n],n.亚马逊河、亚马逊(女战士)
404,ambassador,[?m'b?s?d?],n.大使;特使、(派驻国际组织的)代表
405,amber,['?mb?],n.琥珀(色)
406,ambidextrous,[??mbi'dekstr?s],a.十分灵巧的
407,ambience,['?mbi?ns],n.(周围)环境、气氛
408,ambient,['?mbi?nt],a.周围的、包围着的;环境的
409,ambiguity,[??mbi'gju:iti;??mbi'gju:?ti],n.模棱两可、模糊
410,ambiguous,[?m'bigju?s],a.模棱两可的;含糊的
411,ambition,[?m'bi??n],n.雄心、抱负
412,ambitious,[?m'bi??s],a.有雄心的、渴望成功的
413,ambivalence,[?m'biveil?ns;?m'biv?l?ns],n.矛盾心理
414,ambivalent,[?m'biv?l?nt],a.(对人或物)有矛盾看法的
415,amble,['?mbl;'?mb?l],n./v.漫步、缓行(尤指马步)
416,ambrosial,[?m'br?u?i?l],a.芬香的、特别美味的
417,ambulance,['?mbjul?ns;'?mbj?l?ns],n.救护车、救护船、救护飞机
418,ambulant,[?mbjul?nt],a.走动的;适宜于下床活动的
419,ambulatory,['?mbjul?t?ri;'?mbj?l??t?uri],a.(适宜于)步行的
420,ambush,['?mbu?],n./v.埋伏;伏击
421,ameliorate,[?'mi:lj?reit;?'mi:lj??reit],v.改善、改良
422,amenable,[?'mi:n?b?l],a.愿服从的、通情达理的
423,amend,[?'mend],v.修正;(通常向更好的方向)变化
424,amendment,[?'mendm?nt],n.改正、修正
425,Amendment,[?'mendm?nt],n.宪法修正案
426,amenity,[?'mi:niti],n.礼仪;使人感到舒适的事物;pl.生活福利设施、文娱康乐场所
427,amethyst,['?miθist;'?m?θist],n.紫水晶
428,amiable,['eimj?bl;'eimi?b?l],a.和蔼的、亲切的
429,amicable,['?mik?bl;'?mik?b?l],a.友好的
430,amid,[?'mid],prep.在...中、在...当中
431,amino acid,['?min?u-'?sid],n.[生]氨基酸
432,amiss,[?'mis],ad.有毛病地、出差错地
433,amity,['?miti;'?m?ti],n.(人或国之间的)友好关系
434,ammonia,[?'m?unj?],n.氨
435,amnesia,[?m'ni:zj?;?m'ni:?i?],n.健忘症
436,amnesty,['?mnesti;'?m?nesti],n.大赦、特赦
437,amoral,[?'m?r?l;ei'm?r?l],a.与道德无关的
438,amorphous,[?'m?:f?s],a.无定形的
439,amortize,[?'m?:taiz],v.分期偿还
440,amount,[?'maunt],n.量、总合;vi.总计;等于
441,amphetamine,[?m'fet??mi:n],n.[药]氨基丙苯、苯基丙、发非他明
442,amphibian,[?m'fibi?n],n.两栖动物;水陆两用飞行器
443,ample,['?mpl;'?mp?l],a.充足的、丰富的
